TradeTimestamp,tradePrice,tradeQuantity,side,tradeId
2021-10-10T17:10:47.136,18513.80,0.00004,0.00004,SELL,1879365185304655524
2021-10-10T17:10:46.939,18513.80,0.00003,0.00003,SELL,1879365178680768356
2021-10-10T17:10:44.144,18513.80,0.00003,0.00003,SELL,1879365084913796804
2021-10-10T17:10:41.642,18513.80,0.00004,0.00004,SELL,1879365000948397028
2021-10-10T17:10:39.037,18513.79,0.00002,0.00002,SELL,1879364913527325604
2021-10-10T17:10:36.138,18513.80,0.00004,0.00004,SELL,1879364816269814500
2021-10-10T17:10:35.036,18560.66,0.00003,0.00003,BUY,1879364779307340228
2021-10-10T17:10:33.169,18560.66,0.00002,0.00002,BUY,1879364716632496644
2021-10-10T17:10:32.436,18513.80,0.00002,0.00002,SELL,1879364692051075908
2021-10-10T17:10:30.636,18513.80,0.00001,0.00001,SELL,1879364631664933668
2021-10-10T17:10:28.480,18560.67,0.00002,0.00002,BUY,1879364559297290660
2021-10-10T17:10:25.337,18513.82,0.00074,0.00074,SELL,1879364453850694980
2021-10-10T17:10:25.139,18513.82,0.00004,0.00004,SELL,1879364447195438660
2021-10-10T17:10:20.636,18513.82,0.00006,0.00006,SELL,1879364296093474788
2021-10-10T17:10:15.939,18560.70,0.00002,0.00002,BUY,1879364138491979396
2021-10-10T17:10:14.137,18513.79,0.00003,0.00003,SELL,1879364078024679908
2021-10-10T17:10:13.077,18513.82,0.00002,0.00002,SELL,1879364042481309060
2021-10-10T17:10:12.552,18560.70,0.00002,0.00002,BUY,1879364024853784292
2021-10-10T17:10:08.652,18513.80,0.00003,0.00003,SELL,1879363893980065700
2021-10-10T17:10:06.043,18513.79,0.00002,0.00002,SELL,1879363806432444260
2021-10-10T17:10:04.268,18513.79,0.00003,0.00003,SELL,1879363746883048836
2021-10-10T17:10:03.247,18513.80,0.00002,0.00002,SELL,1879363712620200580
2021-10-10T17:10:03.136,18513.80,0.00007,0.00007,SELL,1879363708920160516
2021-10-10T17:09:57.636,18513.80,0.00005,0.00005,SELL,1879363524356935076
2021-10-10T17:09:56.936,18513.80,0.00003,0.00003,SELL,1879363500853146724
2021-10-10T17:09:52.136,18513.80,0.00006,0.00006,SELL,1879363339800542564
2021-10-10T17:09:46.638,18513.80,0.00004,0.00004,SELL,1879363155317364804
2021-10-10T17:09:41.136,18513.80,0.00006,0.00006,SELL,1879362970693323204
2021-10-10T17:09:38.942,18513.80,0.00002,0.00002,SELL,1879362897079023108
2021-10-10T17:09:36.636,18513.80,0.00002,0.00002,SELL,1879362819709729476
2021-10-10T17:09:32.870,18560.78,0.00003,0.00003,BUY,1879362693346213444
2021-10-10T17:09:31.136,18513.79,0.00005,0.00005,SELL,1879362635151311556
2021-10-10T17:09:28.372,18513.81,0.00003,0.00003,SELL,1879362542428630212
2021-10-10T17:09:25.636,18513.81,0.00008,0.00008,SELL,1879362450599699812
2021-10-10T17:09:23.147,18513.82,0.00002,0.00002,SELL,1879362367103626052
2021-10-10T17:09:21.869,18513.82,0.00002,0.00002,SELL,1879362324202494916
2021-10-10T17:09:19.372,18513.81,0.00002,0.00002,SELL,1879362240459880452
2021-10-10T17:09:19.141,18513.79,0.00008,0.00008,SELL,1879362232670915044
2021-10-10T17:09:13.652,18513.80,0.00008,0.00008,SELL,1879362048480790244
2021-10-10T17:09:08.136,18513.86,0.00002,0.00002,SELL,1879361863422124100
2021-10-10T17:09:05.636,18560.84,0.00003,0.00003,BUY,1879361779525331716
2021-10-10T17:09:03.742,18560.84,0.00003,0.00003,BUY,1879361715965692484
2021-10-10T17:09:03.638,18513.86,0.00006,0.00006,SELL,1879361712471706052
2021-10-10T17:09:02.452,18513.85,0.00002,0.00002,SELL,1879361672702037508
2021-10-10T17:08:58.148,18513.85,0.00005,0.00005,SELL,1879361528277145444
2021-10-10T17:08:52.640,18513.84,0.00007,0.00007,SELL,1879361343449396388
2021-10-10T17:08:47.136,18513.82,0.00006,0.00006,SELL,1879361158770366820
2021-10-10T17:08:44.736,18513.81,0.00002,0.00002,SELL,1879361078246641284
2021-10-10T17:08:40.647,18513.81,0.00004,0.00004,SELL,1879360941025943652
2021-10-10T17:08:36.145,18513.79,0.00006,0.00006,SELL,1879360789968288356
2021-10-10T17:08:36.038,18513.79,0.00002,0.00002,SELL,1879360786376297636
2021-10-10T17:08:33.648,18560.92,0.00002,0.00002,BUY,1879360706195388164
2021-10-10T17:08:29.636,18513.92,0.00003,0.00003,SELL,1879360571555929508
2021-10-10T17:08:24.145,18513.89,0.00008,0.00008,SELL,1879360387308014692
2021-10-10T17:08:20.381,18513.89,0.00003,0.00003,SELL,1879360261026336676
2021-10-10T17:08:19.636,18513.89,0.00004,0.00004,SELL,1879360236019617700
2021-10-10T17:08:14.136,18513.87,0.00003,0.00003,SELL,1879360051471847236
2021-10-10T17:08:08.641,18513.87,0.00005,0.00005,SELL,1879359867086067172
2021-10-10T17:08:08.147,18561.00,0.00003,0.00003,BUY,1879359850526353796
2021-10-10T17:08:02.150,18513.84,0.00006,0.00006,SELL,1879359649300939428
2021-10-10T17:08:01.336,18561.03,0.00003,0.00003,BUY,1879359621969772516
2021-10-10T17:07:57.643,18513.84,0.00004,0.00004,SELL,1879359498044057028
2021-10-10T17:07:52.138,18513.82,0.00004,0.00004,SELL,1879359313328291076
2021-10-10T17:07:46.640,18513.81,0.00004,0.00004,SELL,1879359128849615748
2021-10-10T17:07:46.257,18513.81,0.00071,0.00071,SELL,1879359116023736612
2021-10-10T17:07:40.136,18513.81,0.00004,0.00004,SELL,1879358910613838596
2021-10-10T17:07:36.042,18513.81,0.00002,0.00002,SELL,1879358773256433828
2021-10-10T17:07:35.636,18513.81,0.00001,0.00001,SELL,1879358759640804260
2021-10-10T17:07:33.369,18513.81,0.00002,0.00002,SELL,1879358683550292420
2021-10-10T17:07:29.152,18513.85,0.00003,0.00003,SELL,1879358542044429252
2021-10-10T17:07:26.244,18513.87,0.00075,0.00075,SELL,1879358444487510404
2021-10-10T17:07:24.652,18513.85,0.00003,0.00003,SELL,1879358391064418788
2021-10-10T17:07:23.660,18513.86,0.00005,0.00005,SELL,1879358357776422628
2021-10-10T17:07:18.240,18561.14,0.00003,0.00003,BUY,1879358175900968868
2021-10-10T17:07:18.141,18513.84,0.00005,0.00005,SELL,1879358172603442756
2021-10-10T17:07:13.641,18513.84,0.00006,0.00006,SELL,1879358021610628580
2021-10-10T17:07:10.680,18513.84,0.00002,0.00002,SELL,1879357922246021124
2021-10-10T17:07:08.136,18513.82,0.00004,0.00004,SELL,1879357836891204036
2021-10-10T17:07:04.572,18513.81,0.00002,0.00002,SELL,1879357717298193156
2021-10-10T17:07:01.650,18513.81,0.00004,0.00004,SELL,1879357619258013764
2021-10-10T17:07:00.148,18561.17,0.00002,0.00002,BUY,1879357568856170948
2021-10-10T17:06:57.145,18513.79,0.00005,0.00005,SELL,1879357468090666084
2021-10-10T17:06:51.249,18561.17,0.00002,0.00002,BUY,1879357270246784100
2021-10-10T17:06:50.649,18513.89,0.00005,0.00005,SELL,1879357250111377188
2021-10-10T17:06:45.337,18561.20,0.00002,0.00002,BUY,1879357071883061892
2021-10-10T17:06:45.136,18513.86,0.00005,0.00005,SELL,1879357065121830564
