TradeTimestamp,tradePrice,tradeQuantity,side,tradeId
2021-10-10T17:10:52.439,0.6110,5,5,BUY,1879365363239146212
2021-10-10T17:10:46.939,0.6109,8,8,BUY,1879365178681221188
2021-10-10T17:10:45.061,0.6112,21,21,BUY,1879365115665782308
2021-10-10T17:10:41.442,0.6108,4,4,BUY,1879364994224391844
2021-10-10T17:10:36.468,0.6110,36,36,BUY,1879364827334032228
2021-10-10T17:10:35.947,0.6111,5,5,BUY,1879364809860796868
2021-10-10T17:10:30.852,0.6110,1,1,SELL,1879364638904309828
2021-10-10T17:10:30.436,0.6110,5,5,BUY,1879364624930773284
2021-10-10T17:10:24.940,0.6109,2,2,BUY,1879364440514816996
2021-10-10T17:10:19.436,0.6108,1,1,SELL,1879364255849944708
2021-10-10T17:10:13.936,0.6108,1,1,BUY,1879364071291330116
2021-10-10T17:10:07.642,0.6109,2,2,SELL,1879363860111499364
2021-10-10T17:10:05.064,0.6112,20,20,BUY,1879363773588603428
2021-10-10T17:10:05.064,0.6112,24,24,BUY,1879363773588436612
2021-10-10T17:10:04.637,0.6089,37,37,SELL,1879363759274612804
2021-10-10T17:10:04.637,0.6090,61,61,SELL,1879363759274521924
2021-10-10T17:10:04.637,0.6110,1,1,SELL,1879363759274311492
2021-10-10T17:10:02.936,0.6110,4,4,BUY,1879363702179488452
2021-10-10T17:09:58.548,0.6088,40,40,SELL,1879363554950418692
2021-10-10T17:09:58.548,0.6097,38,38,SELL,1879363554950218884
2021-10-10T17:09:57.837,0.6110,2,2,SELL,1879363531133925348
2021-10-10T17:09:57.436,0.6110,3,3,BUY,1879363517659539332
2021-10-10T17:09:56.553,0.6096,88,88,SELL,1879363488002801956
2021-10-10T17:09:51.938,0.6110,7,7,SELL,1879363333146715908
2021-10-10T17:09:46.456,0.6111,4,4,SELL,1879363149222217572
2021-10-10T17:09:46.383,0.6112,11,11,BUY,1879363146770273796
2021-10-10T17:09:40.936,0.6112,7,7,BUY,1879362963989654116
2021-10-10T17:09:35.439,0.6107,6,6,BUY,1879362779553713828
2021-10-10T17:09:29.947,0.6110,4,4,BUY,1879362595276229988
2021-10-10T17:09:24.136,0.6112,59,59,SELL,1879362400280430884
2021-10-10T17:09:23.636,0.6111,5,5,SELL,1879362383504505924
2021-10-10T17:09:18.047,0.6112,2,2,SELL,1879362195953238148
2021-10-10T17:09:12.852,0.6113,6,6,SELL,1879362021649769444
2021-10-10T17:09:07.936,0.6114,6,6,SELL,1879361856687680004
2021-10-10T17:09:05.549,0.6107,38,38,SELL,1879361776617475684
2021-10-10T17:09:02.248,0.6115,5,5,SELL,1879361665826734596
2021-10-10T17:08:57.049,0.6116,4,4,SELL,1879361491382645316
2021-10-10T17:08:56.738,0.6129,15,15,BUY,1879361480958234276
2021-10-10T17:08:56.738,0.6116,4,4,BUY,1879361480957969476
2021-10-10T17:08:51.440,0.6116,6,6,BUY,1879361303170938756
2021-10-10T17:08:48.060,0.6130,5,5,BUY,1879361189784302404
2021-10-10T17:08:48.060,0.6127,50,50,BUY,1879361189784101796
2021-10-10T17:08:46.838,0.6128,11,11,BUY,1879361148760968932
2021-10-10T17:08:46.838,0.6115,3,3,BUY,1879361148760707236
2021-10-10T17:08:45.947,0.6115,3,3,SELL,1879361118858662052
2021-10-10T17:08:40.437,0.6116,6,6,BUY,1879360933997013444
2021-10-10T17:08:38.537,0.6103,53,53,SELL,1879360870216235332
2021-10-10T17:08:38.537,0.6104,34,34,SELL,1879360870216159492
2021-10-10T17:08:38.447,0.6127,86,86,BUY,1879360867196491972
2021-10-10T17:08:35.580,0.6114,107,107,SELL,1879360771017563236
2021-10-10T17:08:35.077,0.6113,2,2,SELL,1879360754138180612
2021-10-10T17:08:34.937,0.6113,4,4,SELL,1879360749425957988
2021-10-10T17:08:31.556,0.6103,33,33,SELL,1879360636004998180
2021-10-10T17:08:29.436,0.6114,3,3,BUY,1879360564855020932
2021-10-10T17:08:23.939,0.6111,4,4,SELL,1879360380420273956
2021-10-10T17:08:19.652,0.6111,32,32,BUY,1879360236565464004
2021-10-10T17:08:18.442,0.6111,2,2,BUY,1879360195957278276
2021-10-10T17:08:14.180,0.6114,57,57,SELL,1879360052933733412
2021-10-10T17:08:12.936,0.6114,8,8,SELL,1879360011220574564
2021-10-10T17:08:06.436,0.6111,7,7,SELL,1879359793116105060
2021-10-10T17:08:01.946,0.6109,4,4,SELL,1879359642459062660
2021-10-10T17:08:01.039,0.6126,51,51,BUY,1879359611995401700
2021-10-10T17:07:56.436,0.6110,6,6,SELL,1879359457547857188
2021-10-10T17:07:50.939,0.6111,1,1,SELL,1879359273123737188
2021-10-10T17:07:49.461,0.6110,72,72,BUY,1879359223504620196
2021-10-10T17:07:46.948,0.6128,7,7,BUY,1879359139180377732
2021-10-10T17:07:46.947,0.6112,5,5,BUY,1879359139179959332
2021-10-10T17:07:45.547,0.6100,29,29,SELL,1879359092173601860
2021-10-10T17:07:45.547,0.6101,68,68,SELL,1879359092173427428
2021-10-10T17:07:45.181,0.6112,9,9,SELL,1879359079918023140
2021-10-10T17:07:44.048,0.6101,11,11,SELL,1879359041897000292
2021-10-10T17:07:41.949,0.6105,22,22,SELL,1879358971441616932
2021-10-10T17:07:39.936,0.6114,5,5,BUY,1879358903914143972
2021-10-10T17:07:36.167,0.6112,42,42,BUY,1879358777447188036
2021-10-10T17:07:34.749,0.6112,23,23,BUY,1879358729846580004
2021-10-10T17:07:34.436,0.6112,3,3,BUY,1879358719363163236
2021-10-10T17:07:32.842,0.6100,16,16,SELL,1879358665863763364
2021-10-10T17:07:32.842,0.6111,10,10,SELL,1879358665863665636
2021-10-10T17:07:32.842,0.6112,59,59,SELL,1879358665863429604
2021-10-10T17:07:32.037,0.6111,33,33,SELL,1879358638846992676
2021-10-10T17:07:30.864,0.6111,43,43,BUY,1879358599511466020
2021-10-10T17:07:30.256,0.6111,93,93,BUY,1879358579106395300
2021-10-10T17:07:28.739,0.6101,51,51,SELL,1879358528199099780
2021-10-10T17:07:28.739,0.6102,42,42,SELL,1879358528199044548
2021-10-10T17:07:28.739,0.6112,3,3,SELL,1879358528198831876
2021-10-10T17:07:28.238,0.6127,95,95,BUY,1879358511394645732
2021-10-10T17:07:23.440,0.6113,5,5,BUY,1879358350401691716
2021-10-10T17:07:18.257,0.6098,21,21,SELL,1879358176483526404
2021-10-10T17:07:18.257,0.6099,16,16,SELL,1879358176483472548
2021-10-10T17:07:18.257,0.6112,3,3,SELL,1879358176483362948
2021-10-10T17:07:17.941,0.6112,4,4,BUY,1879358165865674340
2021-10-10T17:07:12.441,0.6111,6,6,SELL,1879357981344590500
2021-10-10T17:07:09.243,0.6129,81,81,BUY,1879357874012010404
2021-10-10T17:07:06.936,0.6112,8,8,SELL,1879357796613392612
2021-10-10T17:07:04.836,0.6129,2,2,BUY,1879357726150764836
2021-10-10T17:07:04.638,0.6114,36,36,SELL,1879357719521672996
2021-10-10T17:07:03.281,0.6113,5,5,SELL,1879357673964446692
2021-10-10T17:07:01.438,0.6113,1,1,BUY,1879357612118591748
2021-10-10T17:07:01.375,0.6101,23,23,SELL,1879357610024530148
2021-10-10T17:07:00.548,0.6113,4,4,BUY,1879357582258592292
2021-10-10T17:06:56.076,0.6112,6,6,BUY,1879357432211787012
2021-10-10T17:06:55.266,0.6098,8,8,SELL,1879357405023831844
2021-10-10T17:06:55.266,0.6112,5,5,SELL,1879357405023794404
2021-10-10T17:06:55.266,0.6114,7,7,SELL,1879357405023607012
2021-10-10T17:06:49.936,0.6112,5,5,BUY,1879357226202527876
2021-10-10T17:06:49.836,0.6099,47,47,SELL,1879357222838349860
2021-10-10T17:06:49.836,0.6100,9,9,SELL,1879357222838167460
2021-10-10T17:06:48.176,0.6098,72,72,SELL,1879357167125739396
2021-10-10T17:06:48.176,0.6099,12,12,SELL,1879357167125602436
