TradeTimestamp,tradePrice,tradeQuantity,side,tradeId
2021-10-10T17:10:50.366,3.755,1.54,1.54,SELL,1879365293674321798
2021-10-10T17:10:50.366,3.841,0.07,0.07,SELL,1879365293674195430
2021-10-10T17:10:44.594,3.842,0.05,0.05,SELL,1879365099988663430
2021-10-10T17:10:38.590,3.844,0.05,0.05,SELL,1879364898530119910
2021-10-10T17:10:32.589,3.845,0.06,0.06,BUY,1879364697166267046
2021-10-10T17:10:27.889,3.757,1.14,1.14,SELL,1879364539484708870
2021-10-10T17:10:26.594,3.845,0.04,0.04,BUY,1879364496022841030
2021-10-10T17:10:23.664,3.756,0.04,0.04,SELL,1879364397718359046
2021-10-10T17:10:20.594,3.845,0.04,0.04,BUY,1879364294688934278
2021-10-10T17:10:18.099,3.846,1.56,1.56,BUY,1879364210969908518
2021-10-10T17:10:16.158,3.781,1.87,1.87,SELL,1879364145844576070
2021-10-10T17:10:16.158,3.782,5.11,5.11,SELL,1879364145844519110
2021-10-10T17:10:16.158,3.845,0.02,0.02,SELL,1879364145844364166
2021-10-10T17:10:14.590,3.845,0.07,0.07,BUY,1879364093248657126
2021-10-10T17:10:08.591,3.844,0.04,0.04,SELL,1879363891949694470
2021-10-10T17:10:05.278,3.757,2.00,2.00,SELL,1879363780793931622
2021-10-10T17:10:02.594,3.845,0.04,0.04,SELL,1879363690704708102
2021-10-10T17:09:57.265,3.781,2.24,2.24,SELL,1879363511895075814
2021-10-10T17:09:57.265,3.782,6.70,6.70,SELL,1879363511894925606
2021-10-10T17:09:56.590,3.846,0.04,0.04,BUY,1879363489268759430
2021-10-10T17:09:50.598,3.844,0.04,0.04,SELL,1879363288213089318
2021-10-10T17:09:47.654,3.850,0.21,0.21,BUY,1879363189397804326
2021-10-10T17:09:44.590,3.846,0.03,0.03,BUY,1879363086597314918
2021-10-10T17:09:43.080,3.758,2.19,2.19,SELL,1879363035943379590
2021-10-10T17:09:38.597,3.845,0.02,0.02,BUY,1879362885503839622
2021-10-10T17:09:37.383,3.758,1.04,1.04,SELL,1879362844773865318
2021-10-10T17:09:33.754,3.758,0.49,0.49,SELL,1879362723017049990
2021-10-10T17:09:33.554,3.758,0.22,0.22,SELL,1879362716285440966
2021-10-10T17:09:33.554,3.844,0.03,0.03,SELL,1879362716285329702
2021-10-10T17:09:32.654,3.844,0.05,0.05,BUY,1879362686104541350
2021-10-10T17:09:26.590,3.842,0.02,0.02,BUY,1879362482615009798
2021-10-10T17:09:21.470,3.761,2.44,2.44,SELL,1879362310834239814
2021-10-10T17:09:20.588,3.841,0.01,0.01,BUY,1879362281236504166
2021-10-10T17:09:16.363,3.851,0.70,0.70,BUY,1879362139471220966
2021-10-10T17:09:14.588,3.840,0.07,0.07,SELL,1879362079920196774
2021-10-10T17:09:08.592,3.841,0.04,0.04,SELL,1879361878708936966
2021-10-10T17:09:03.482,3.851,2.61,2.61,BUY,1879361707254943846
2021-10-10T17:09:02.590,3.842,0.04,0.04,BUY,1879361677308768646
2021-10-10T17:08:56.588,3.841,0.06,0.06,BUY,1879361475937190182
2021-10-10T17:08:50.597,3.840,0.03,0.03,SELL,1879361274912640166
2021-10-10T17:08:46.754,3.781,0.71,0.71,SELL,1879361145965002022
2021-10-10T17:08:46.754,3.784,0.97,0.97,SELL,1879361145964799846
2021-10-10T17:08:45.155,3.851,0.64,0.64,BUY,1879361092307048838
2021-10-10T17:08:44.588,3.841,0.02,0.02,SELL,1879361073280862950
2021-10-10T17:08:42.054,3.782,1.67,1.67,SELL,1879360988259630694
2021-10-10T17:08:38.590,3.842,0.05,0.05,BUY,1879360872008582086
2021-10-10T17:08:32.590,3.841,0.05,0.05,SELL,1879360670694223558
2021-10-10T17:08:31.254,3.851,0.10,0.10,BUY,1879360625842461926
2021-10-10T17:08:26.590,3.842,0.06,0.06,BUY,1879360469374513222
2021-10-10T17:08:21.266,3.781,0.18,0.18,SELL,1879360290722854022
2021-10-10T17:08:21.266,3.783,1.77,1.77,SELL,1879360290722724742
2021-10-10T17:08:20.654,3.841,0.03,0.03,SELL,1879360270171070502
2021-10-10T17:08:16.754,3.782,1.03,1.03,SELL,1879360139327564454
2021-10-10T17:08:14.597,3.842,0.01,0.01,BUY,1879360066938700166
2021-10-10T17:08:10.079,3.854,2.41,2.41,BUY,1879359915345440998
2021-10-10T17:08:08.598,3.840,0.04,0.04,BUY,1879359865636239750
2021-10-10T17:08:05.356,3.788,9.35,9.35,SELL,1879359756853423718
2021-10-10T17:08:02.588,3.838,0.04,0.04,BUY,1879359663996403494
2021-10-10T17:07:56.588,3.836,0.01,0.01,SELL,1879359462649687014
2021-10-10T17:07:53.554,3.851,2.42,2.42,BUY,1879359360858406758
